,11/8/2016,,,,,,More Ink For Less,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10:03 AM,,,,,,Item List,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference,,,,,,Department,Sales Tax,,Physical Description,,,,Packing Material,Unit of Measure,Customer Pricing,,,Quantity Pricing,,,,,,Promo pricing,Inventory Exempt,Inventory,,Vendor Info,,Units and Quantities,,,,Wholesale Costs,,,Packing Materials,,,,,,
SKU,Full name,Button Name,Stock Number,Register Shortcut Key,Register Icon,,Category,Sub-Category,Color,Style,Location,Size,,Sold By the,Retail Price,for Level 2 customers (Business Price),for Level 3 customers (ITEX Price),for,or more,for,or more,for,or more,,,On-hand Qty,Last Adjusted,Vendor Name,Vendor Stock number,Buy Per,Buy Quantiy,Sell/buy unit,Reorder Level,Cost per ea,Weighted Avg Cost,Cost per ea,Labor,weight lb,weight oz,dim 1,dim 2,dim 3,Material thickness
,3D - Invent Software,,69500,,,3D Printing,General Merchandise,Regular Product,,,,,No,EA,48.99,48.99,110.29,,,,,,,,No,1,,Arlington,,EA,1,1,0,36.75,,,,,,,,,
,3D Fment -Cube3- ABS Black,,69505,,,3D Printing,General Merchandise,Regular Product,Black,,,,No,EA,49.99,49.99,54.99,,,,,,,,No,0,,Arlington,,EA,1,1,0,36.75,,,,,,,,,
,3D Fment -Cube3- ABS Blue,,69510,,,3D Printing,General Merchandise,Regular Product,Blue,,,,No,EA,49.99,49.99,54.99,,,,,,,,No,0,,Arlington,,EA,1,1,0,36.75,,,,,,,,,
,3D Fment -Cube3- ABS Green,,69515,,,3D Printing,General Merchandise,Regular Product,Green,,,,No,EA,49.99,49.99,54.99,,,,,,,,No,0,,Arlington,,EA,1,1,0,36.75,,,,,,,,,
,3D Fment -Cube3- ABS Red,,69520,,,3D Printing,General Merchandise,Regular Product,Red,,,,No,EA,49.99,49.99,54.99,,,,,,,,No,0,,Arlington,,EA,1,1,0,36.75,,,,,,,,,
,3D Fment -Cube3- ABS White,,69525,,,3D Printing,General Merchandise,Regular Product,White,,,,No,EA,49.99,49.99,54.99,,,,,,,,No,0,,Arlington,,EA,1,1,0,36.75,,,,,,,,,
,3D Fment -Cube3- PLA Black,,69530,,,3D Printing,General Merchandise,Regular Product,Black,,,,No,EA,49.99,49.99,54.99,,,,,,,,No,0,,Arlington,,EA,1,1,0,36.75,,,,,,,,,
,3D Fment -Cube3- PLA Blue,,69535,,,3D Printing,General Merchandise,Regular Product,Blue,,,,No,EA,49.99,49.99,54.99,,,,,,,,No,1,,Arlington,,EA,1,1,0,36.75,,,,,,,,,
,3D Fment -Cube3- PLA Dk Grey,,69540,,,3D Printing,General Merchandise,Regular Product,Dark Grey,,,,No,EA,49.99,49.99,54.99,,,,,,,,No,0,,Arlington,,EA,1,1,0,36.75,,,,,,,,,
,3D Fment -Cube3- PLA Green,,69545,,,3D Printing,General Merchandise,Regular Product,Green,,,,No,EA,49.99,49.99,54.99,,,,,,,,No,0,,Arlington,,EA,1,1,0,36.75,,,,,,,,,
,3D Fment -Cube3- PLA Infinity,,69550,,,3D Printing,General Merchandise,Regular Product,Infinity,,,,No,EA,49.99,49.99,110.29,,,,,,,,No,1,,Arlington,,EA,1,1,0,36.75,,,,,,,,,
,3D Fment -Cube3- PLA Nv Blue,,69555,,,3D Printing,General Merchandise,Regular Product,Navy Blue,,,,No,EA,49.99,49.99,54.99,,,,,,,,No,0,,Arlington,,EA,1,1,0,36.75,,,,,,,,,
,3D Fment -Cube3- PLA Red,,69560,,,3D Printing,General Merchandise,Regular Product,Red,,,,No,EA,49.99,49.99,54.99,,,,,,,,No,0,,Arlington,,EA,1,1,0,36.75,,,,,,,,,
,3D Fment -Cube3- PLA Tan,,69565,,,3D Printing,General Merchandise,Regular Product,Tan,,,,No,EA,49.99,49.99,54.99,,,,,,,,No,0,,Arlington,,EA,1,1,0,36.75,,,,,,,,,
,3D Fment -Cube3- PLA White,,69570,,,3D Printing,General Merchandise,Regular Product,White,,,,No,EA,49.99,49.99,54.99,,,,,,,,No,0,,Arlington,,EA,1,1,0,36.75,,,,,,,,,
,3D Fment -Cube3- PLA Yellow,,69575,,,3D Printing,General Merchandise,Regular Product,Yellow,,,,No,EA,49.99,49.99,54.99,,,,,,,,No,0,,Arlington,,EA,1,1,0,36.75,,,,,,,,,
,3D Fment -CubePro- ABS Black,,69580,,,3D Printing,General Merchandise,Regular Product,Black,,,,No,EA,99.99,99.99,109.99,,,,,,,,No,0,,Arlington,,EA,1,1,0,74.25,,,,,,,,,
,3D Fment -CubePro- ABS Blue,,69585,,,3D Printing,General Merchandise,Regular Product,Blue,,,,No,EA,99.99,99.99,109.99,,,,,,,,No,0,,Arlington,,EA,1,1,0,74.25,,,,,,,,,
,3D Fment -CubePro- ABS Dk Grey,,69590,,,3D Printing,General Merchandise,Regular Product,Dark Grey,,,,No,EA,99.99,99.99,109.99,,,,,,,,No,0,,Arlington,,EA,1,1,0,74.25,,,,,,,,,
,3D Fment -CubePro- ABS Green,,69595,,,3D Printing,General Merchandise,Regular Product,Green,,,,No,EA,99.99,99.99,109.99,,,,,,,,No,0,,Arlington,,EA,1,1,0,74.25,,,,,,,,,
,3D Fment -CubePro- ABS Grey,,69600,,,3D Printing,General Merchandise,Regular Product,Grey,,,,No,EA,99.99,99.99,109.99,,,,,,,,No,0,,Arlington,,EA,1,1,0,74.25,,,,,,,,,
,3D Fment -CubePro- ABS Navy,,69605,,,3D Printing,General Merchandise,Regular Product,Navy Blue,,,,No,EA,99.99,99.99,109.99,,,,,,,,No,0,,Arlington,,EA,1,1,0,36.75,,,,,,,,,
,3D Fment -CubePro- ABS Red,,69610,,,3D Printing,General Merchandise,Regular Product,Red,,,,No,EA,99.99,99.99,109.99,,,,,,,,No,0,,Arlington,,EA,1,1,0,74.25,,,,,,,,,
,3D Fment -CubePro- ABS White,,69615,,,3D Printing,General Merchandise,Regular Product,White,,,,No,EA,99.99,99.99,109.99,,,,,,,,No,0,,Arlington,,EA,1,1,0,74.25,,,,,,,,,
,3D Fment -CubePro- PLA Black,,69620,,,3D Printing,General Merchandise,Regular Product,Black,,,,No,EA,99.99,99.99,109.99,,,,,,,,No,0,,Arlington,,EA,1,1,0,74.25,,,,,,,,,
,3D Fment -CubePro- PLA Blue,,69625,,,3D Printing,General Merchandise,Regular Product,Blue,,,,No,EA,99.99,99.99,109.99,,,,,,,,No,0,,Arlington,,EA,1,1,0,74.25,,,,,,,,,
,3D Fment -CubePro- PLA Dk Grey,,69630,,,3D Printing,General Merchandise,Regular Product,Dark Grey,,,,No,EA,99.99,99.99,109.99,,,,,,,,No,0,,Arlington,,EA,1,1,0,74.25,,,,,,,,,
,3D Fment -CubePro- PLA Green,,69635,,,3D Printing,General Merchandise,Regular Product,Green,,,,No,EA,99.99,99.99,109.99,,,,,,,,No,0,,Arlington,,EA,1,1,0,74.25,,,,,,,,,
,3D Fment -CubePro- PLA Red,,69640,,,3D Printing,General Merchandise,Regular Product,Red,,,,No,EA,99.99,99.99,109.99,,,,,,,,No,0,,Arlington,,EA,1,1,0,74.25,,,,,,,,,
,3D Fment -CubePro- PLA White,,69645,,,3D Printing,General Merchandise,Regular Product,White,,,,No,EA,99.99,99.99,109.99,,,,,,,,No,0,,Arlington,,EA,1,1,0,74.25,,,,,,,,,
,3D Printer - Cube3 Printer,,69650,,,3D Printing,General Merchandise,Regular Product,,,,,No,EA,999.99,999.99,2397.59,,,,,,,,No,0,,Arlington,,EA,1,1,0,799.2,,,,,,,,,
732285003048,"5/16"" Bubble wrap",,70000,,,Packing Supplies,General Merchandise,Shipping,,,,,No,EA,11.99,11.99,18.09,11.79,2,11.59,3,11.09,5,,No,2,,Supply Side USA,,EA,1,1,1,6.04,,,,,,,,,
,Apple A2M0077 Black Ribbon,,60115,,,Ink - Apple,General Merchandise,Regular Product,Black,A2M0077,,,No,EA,10.69,10.49,11.49,10.49,2,10.49,3,10.19,5,,No,0,,Supplies Wholesaler,,EA,1,1,0,1.04,,,,,,,,,
,Artwork Preperation,Art Prep,80000,,,Misc Services - Labor,Non-Taxable,Labor,,,,,No,Hour,30,30,50,,,,,,,,Yes,0,,In House,,EA,,,0,0,,,,,,,,,
8888021200119,Battery - Eng AA 2 pk,,72500,,,Office Supplies,General Merchandise,Regular Product,,ENGAA2,,,No,Pk,3.99,3.99,5.69,3.89,2,3.89,3,3.79,5,,No,3,,Arlington,,EA,1,1,0,1.9,,,,,,,,,
8888021200157,Battery - Eng AAA  2 pk,,72505,,,Office Supplies,General Merchandise,Regular Product,,ENGAAA2,,,No,Pk,3.99,3.99,5.69,3.89,2,3.89,3,3.79,5,,No,4,,Arlington,,EA,1,1,0,1.9,,,,,,,,,
,Box 06 x 06 x 06,60606,70005,,,Packaging,General Merchandise,Regular Product,,60606,,,Yes,EA,0.99,0.99,6.59,0.99,2,0.89,3,0.89,5,,No,1,,Eagle Packing & Crating Services Inc,,EA,1,1,2,2.2,,,,,,6,6,6,0.0125
,Box 08 x 08 x 08,80808,70010,,,Packaging,General Merchandise,Regular Product,,S-4084,,,Yes,EA,2,2,2.19,1.99,2,1.89,3,1.89,5,,No,12,,Eagle Packing & Crating Services Inc,,EA,1,1,2,0.44,,,,,,8,8,8,0.0125
